channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,83,102,94,82
81,107,83,102,94,82
81,107,83,102,94,82
81,107,83,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,94,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,107,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,94,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,84,102,93,82
81,106,83,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,84,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,101,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
80,106,83,102,93,82
81,106,83,102,93,82
81,106,83,102,93,82
81,105,83,102,93,82
81,105,83,102,93,82
81,105,83,102,93,82
81,105,83,102,93,82
81,105,83,102,93,82
81,105,83,101,93,82
81,105,83,102,93,82
81,105,83,102,93,82
80,105,83,102,93,82
80,105,83,102,93,81
80,105,83,102,93,82
80,105,83,101,93,82
80,105,83,102,93,82
80,105,83,101,93,82
80,105,83,101,93,82
80,105,83,101,93,82
80,105,83,101,93,82
80,105,83,101,93,82
80,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,93,82
80,105,83,101,93,82
81,105,83,101,93,81
81,105,83,101,93,80
81,105,83,101,93,82
81,105,83,101,93,83
81,105,83,101,93,85
81,105,83,101,93,85
81,105,83,101,93,84
81,105,83,101,93,83
81,105,83,101,93,83
81,105,83,101,93,82
81,105,83,101,93,82
81,105,83,101,92,84
81,105,83,101,92,84
81,105,83,101,92,83
81,105,83,101,92,84
