channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
90,105,91,94,89,79
94,105,91,94,89,79
92,105,91,94,89,79
94,105,91,94,89,79
91,105,91,94,89,79
98,104,91,94,89,79
91,104,91,94,89,79
95,104,91,94,89,79
88,104,91,94,89,79
95,104,91,94,89,79
93,104,91,94,89,79
92,104,91,94,89,79
97,104,91,94,89,79
96,104,91,94,89,79
97,104,91,94,89,79
97,104,91,94,89,79
90,104,91,94,89,79
92,104,91,94,89,79
87,104,91,94,89,79
94,104,91,94,89,79
98,104,91,94,89,79
97,104,91,94,89,79
92,104,91,94,89,79
91,104,91,94,89,79
98,104,91,94,89,79
96,105,91,94,89,79
96,105,91,94,89,79
97,105,91,94,89,79
98,105,91,94,89,79
93,105,91,94,89,79
94,105,91,94,89,79
100,105,91,94,89,79
103,105,91,94,89,79
96,105,91,94,89,79
101,105,91,94,89,79
