channel 0,channel 1,channel 2,channel 3,channel 5,channel 6
100,108,92,95,90,80
98,108,92,95,90,80
98,109,92,95,90,80
87,109,92,95,90,80
94,109,92,95,90,80
97,109,92,95,90,80
90,109,92,95,90,80
91,109,92,95,90,80
93,109,91,95,90,80
94,109,91,95,90,80
96,109,91,95,90,80
104,109,92,95,90,80
93,109,91,95,90,80
96,109,92,95,90,80
98,109,92,95,90,80
95,109,92,95,90,80
95,109,92,95,90,80
94,109,92,95,90,80
99,109,92,95,90,80
94,109,92,95,90,80
102,109,92,95,90,80
99,109,92,95,90,80
96,109,92,95,90,80
93,109,92,95,90,80
90,109,92,95,90,80
92,109,92,95,90,80
95,109,92,95,90,80
89,108,92,95,90,80
91,109,92,95,90,80
94,109,92,95,90,80
94,109,92,95,90,80
100,109,92,95,90,80
95,108,92,95,90,80
95,108,92,95,90,80
93,108,92,95,90,80
105,108,92,95,90,80
100,108,92,95,90,80
97,108,92,95,90,80
97,109,92,95,90,80
94,109,92,95,90,80
94,109,92,95,90,80
99,108,92,95,90,80
104,108,92,95,90,80
99,108,92,95,90,80
98,108,92,95,90,80
95,108,92,95,90,80
95,108,92,95,90,80
101,108,92,95,90,80
103,108,92,95,90,80
99,108,92,95,90,80
97,108,92,95,90,80
100,108,92,95,90,80
96,108,92,95,90,80
96,108,92,95,90,80
106,108,92,95,90,80
103,108,92,95,90,80
109,108,92,95,90,80
107,108,92,95,90,80
101,108,92,95,90,80
102,108,92,95,90,80
94,108,92,95,90,80
96,108,92,95,90,80
102,108,92,95,90,80
97,108,92,95,90,80
101,108,92,95,90,80
101,108,92,95,90,80
110,108,92,95,90,80
90,108,92,95,90,80
99,108,92,95,90,80
106,108,92,95,90,80
101,108,92,95,90,80
97,108,92,95,90,80
96,109,92,95,90,80
105,109,92,95,90,80
103,109,92,95,90,80
102,109,92,95,90,80
105,109,92,95,90,80
106,109,92,95,90,80
99,109,92,95,90,80
109,109,92,95,90,80
101,109,92,95,90,80
96,109,92,95,90,80
95,109,92,95,90,80
94,109,92,95,90,80
101,109,92,95,90,80
95,109,92,95,90,80
90,109,92,95,90,80
105,109,92,95,90,80
102,109,92,95,90,80
94,109,92,95,90,80
101,109,92,95,90,80
93,109,92,95,90,80
96,109,92,95,90,80
104,109,92,95,90,80
94,109,92,95,90,80
99,109,92,95,90,80
97,109,92,95,90,80
96,109,92,95,90,80
100,109,92,95,90,80
96,109,92,95,90,80
102,109,92,95,90,80
103,109,92,95,90,80
95,109,92,95,90,80
95,109,92,95,90,80
98,109,92,95,90,80
100,109,92,95,90,80
101,109,92,95,90,80
103,109,92,95,90,80
97,109,92,95,90,80
98,109,92,95,90,80
94,109,92,95,90,80
95,109,92,95,90,80
95,109,92,95,90,80
109,109,92,95,90,80
99,109,92,95,90,80
102,109,92,95,90,80
92,109,92,95,90,80
96,109,92,95,90,80
97,109,92,95,90,80
98,109,92,95,90,80
95,109,92,95,90,80
99,109,92,95,90,80
99,109,92,95,90,80
100,109,92,95,90,80
98,109,92,95,90,80
96,109,92,95,90,80
109,109,92,95,90,80
99,109,92,95,90,80
96,109,92,95,90,80
95,109,92,95,90,80
101,109,92,95,90,80
103,109,92,95,90,80
99,109,92,95,90,80
105,109,92,95,90,80
101,109,92,95,90,80
94,109,92,95,90,80
105,109,92,95,90,80
108,109,92,95,90,80
102,109,92,95,90,80
105,109,92,95,90,80
100,109,92,95,90,80
108,109,92,95,90,80
109,109,92,95,90,80
103,109,92,95,90,80
102,109,92,95,90,80
106,109,92,95,90,80
96,109,92,95,90,80
92,109,92,95,90,80
97,109,92,95,90,80
93,109,92,95,90,80
95,109,92,95,90,80
111,109,92,95,90,80
105,109,92,95,90,80
95,109,92,95,90,80
106,109,92,95,90,80
104,109,92,95,90,80
100,109,92,95,90,80
100,109,92,95,90,80
96,109,92,95,90,80
94,109,92,95,90,80
99,109,92,95,90,80
99,109,92,95,90,80
100,109,92,95,90,80
96,109,92,95,90,80
93,109,92,95,90,80
100,109,92,95,90,80
92,109,92,95,90,80
96,109,92,95,90,80
95,109,92,95,90,80
101,109,92,95,90,80
103,109,92,95,90,80
110,109,92,95,90,80
102,109,92,95,90,80
95,109,92,95,90,80
100,109,92,95,90,80
95,109,92,95,90,80
100,109,92,95,90,80
91,109,92,95,90,80
106,109,92,95,90,80
100,109,92,95,90,80
92,109,92,95,90,80
98,109,92,95,90,80
98,109,92,95,90,80
97,109,92,95,90,80
102,109,92,95,90,80
91,109,92,95,90,80
96,109,92,95,90,80
97,109,92,95,90,80
100,109,92,95,90,80
95,109,92,95,90,80
100,109,92,95,90,80
106,109,92,95,90,80
100,109,92,95,90,80
94,109,92,95,90,80
100,109,92,95,90,80
98,109,92,95,90,80
97,109,92,95,90,80
98,109,92,95,90,80
103,109,92,95,90,80
96,109,92,95,90,80
101,109,92,95,90,80
101,109,92,95,90,80
110,109,92,95,90,80
108,109,92,95,90,80
106,109,92,95,90,80
101,109,92,95,90,80
95,109,92,95,90,80
91,109,92,95,90,80
97,109,92,95,90,80
98,109,92,95,90,80
93,109,92,95,90,80
103,109,92,95,90,80
97,109,92,95,90,80
100,109,92,95,90,80
98,109,92,95,90,80
97,109,92,95,90,80
96,109,92,95,90,80
96,109,92,95,90,80
89,109,92,95,90,80
95,109,92,95,90,80
101,109,92,95,90,80
101,109,92,95,90,80
95,109,92,95,90,80
101,109,92,95,90,80
97,109,92,95,90,80
103,109,92,95,90,80
92,109,92,95,90,80
92,109,92,95,90,80
100,109,92,95,90,80
94,109,92,95,90,80
96,109,92,95,90,80
94,109,92,95,90,80
100,109,92,95,90,80
104,109,92,95,90,80
104,109,92,95,90,80
90,109,92,95,90,80
94,109,92,95,90,80
96,109,92,95,90,80
101,109,92,95,90,80
96,109,92,95,90,80
93,109,92,95,90,80
102,108,92,95,90,80
97,108,92,95,90,80
94,108,92,95,90,80
102,108,92,95,90,80
95,108,92,95,90,80
98,108,92,95,90,80
100,108,92,95,90,80
98,108,92,95,90,80
92,108,92,95,90,80
98,108,92,95,90,80
105,108,92,95,90,80
104,108,92,95,90,80
99,108,92,95,90,80
103,108,92,95,90,80
103,108,92,95,90,80
99,108,92,95,90,80
98,108,92,95,90,80
93,108,92,95,90,80
89,108,92,95,90,80
102,108,92,95,90,80
104,108,92,95,90,80
97,108,92,95,90,80
97,108,92,95,90,80
95,108,92,95,90,80
94,108,92,95,90,80
107,108,92,95,90,80
109,108,92,95,90,80
107,108,92,95,90,80
96,108,92,95,90,80
101,108,92,95,90,80
93,108,92,95,90,80
97,108,92,95,90,80
90,108,92,95,90,80
98,108,92,95,90,80
101,108,92,95,90,80
95,108,92,95,90,80
96,108,92,95,90,80
97,108,92,95,90,80
97,108,92,95,90,80
102,108,92,95,90,80
94,108,92,95,90,80
92,108,92,95,90,80
105,108,92,95,90,80
100,108,92,95,90,80
101,108,92,95,90,80
98,108,92,95,90,80
92,108,92,95,90,80
97,108,92,95,90,80
91,108,92,95,90,80
101,108,92,95,90,80
104,108,92,95,90,80
92,108,92,95,90,80
99,108,92,95,90,80
95,108,92,95,90,80
102,109,92,95,90,80
98,109,92,95,90,80
94,109,92,95,90,80
93,109,92,95,90,80
97,109,92,95,90,80
113,109,92,95,90,80
94,109,92,95,90,80
104,109,92,95,90,80
96,109,92,95,90,80
94,109,92,95,90,80
92,109,92,95,90,80
80,109,92,95,90,80
96,109,92,95,90,80
85,109,92,95,90,80
97,109,92,95,90,80
88,109,92,95,90,80
96,109,92,95,90,80
87,109,92,95,90,80
93,109,92,95,90,80
104,109,92,95,90,80
93,109,92,95,90,80
91,109,92,95,90,80
100,109,92,95,90,80
92,109,92,95,90,80
94,109,92,95,90,80
99,109,92,95,90,80
105,109,92,95,90,80
93,109,92,95,90,80
93,109,92,95,90,80
101,109,92,95,90,80
101,109,92,95,90,80
105,109,92,95,90,80
101,109,92,95,90,80
94,109,92,95,90,80
99,109,92,95,90,80
102,109,92,95,90,80
95,109,92,95,90,80
97,109,92,95,90,80
104,109,92,95,90,80
101,109,92,95,90,80
104,109,92,95,90,80
104,109,92,95,90,80
98,109,92,95,90,80
101,109,92,95,90,80
95,109,92,95,90,80
95,109,92,95,90,80
101,109,92,95,90,80
97,109,92,95,90,80
98,109,92,95,90,80
95,109,92,95,90,80
90,109,92,95,90,80
100,109,92,95,90,80
98,109,92,95,90,80
96,109,92,95,90,80
101,109,92,95,90,80
93,109,92,95,90,80
101,109,92,95,90,80
92,109,92,95,90,80
97,108,92,95,90,80
97,108,92,95,90,80
98,108,92,95,90,80
101,107,92,95,90,80
100,107,92,95,90,80
91,107,92,95,90,80
102,106,92,95,90,80
98,106,92,95,90,80
94,106,92,95,90,80
99,106,92,95,90,80
94,105,92,95,90,80
92,105,92,95,90,80
101,105,92,95,90,80
99,106,92,95,90,80
101,106,92,95,90,80
93,106,92,95,90,80
104,106,92,95,90,80
100,106,92,95,90,80
99,106,92,95,90,80
99,106,92,95,90,80
98,106,92,95,90,80
94,107,92,95,90,80
100,107,92,95,90,80
100,107,92,95,90,80
105,107,92,95,90,80
101,107,92,95,90,80
95,108,92,95,90,80
96,108,92,95,90,80
96,108,92,95,90,80
101,108,92,95,90,80
100,108,92,95,90,80
88,108,92,95,90,80
99,108,92,95,90,80
101,107,92,95,90,80
100,107,92,95,90,80
93,107,92,95,90,80
100,107,92,95,90,80
97,107,92,95,90,80
100,107,92,95,90,80
102,107,92,95,90,80
96,107,92,95,90,80
97,107,92,95,90,80
96,107,92,95,90,80
99,107,92,95,90,80
103,107,92,95,90,80
102,107,92,95,90,80
101,107,92,95,90,80
103,107,92,95,90,80
99,107,92,95,90,80
97,107,92,95,90,80
105,107,92,95,90,80
108,107,92,95,90,80
104,107,92,95,90,80
99,107,92,95,90,80
101,107,92,95,90,80
94,107,92,95,90,80
104,107,92,95,90,80
94,107,92,95,90,80
94,107,92,95,90,80
93,107,92,95,90,80
92,106,92,95,90,80
101,106,92,95,90,80
101,106,92,95,90,80
98,105,92,95,90,80
101,105,92,95,90,80
101,104,92,95,90,80
101,104,92,95,90,80
96,104,92,95,90,80
98,103,92,95,90,80
97,103,92,95,90,80
101,103,92,95,90,80
100,103,92,95,90,80
103,103,92,95,90,80
112,104,92,95,90,80
102,104,92,95,90,80
103,104,92,95,90,80
99,105,92,95,90,80
100,105,92,95,90,80
97,105,92,95,90,80
95,105,92,95,90,80
95,105,92,95,90,80
94,105,92,95,90,80
87,105,92,95,90,80
100,105,92,95,90,80
97,105,92,95,90,80
97,105,92,95,90,80
92,105,92,95,90,80
92,106,92,95,90,80
95,106,92,95,90,80
100,106,92,95,90,80
104,106,91,95,90,80
104,106,91,95,90,80
104,106,91,95,90,80
98,107,91,95,90,80
103,107,91,95,90,80
101,107,92,95,90,80
101,106,92,95,90,80
86,106,92,95,90,80
100,105,91,95,90,80
96,105,92,95,90,80
91,105,92,95,90,80
95,104,92,95,90,80
102,104,92,95,90,80
100,104,92,95,90,80
92,105,92,95,90,80
91,105,92,95,90,80
98,105,92,95,90,80
94,105,92,95,90,80
98,105,92,95,90,80
101,106,92,95,90,80
107,106,92,95,90,80
92,106,92,95,90,80
101,106,92,95,90,80
103,106,92,95,90,80
95,106,92,95,90,80
101,106,92,95,90,80
95,106,92,95,90,80
103,106,92,95,90,80
103,106,92,95,90,80
102,106,92,95,90,80
104,106,92,95,91,80
106,106,92,95,90,80
99,106,92,95,90,80
98,106,92,95,91,80
90,106,92,95,91,80
95,106,92,95,91,80
102,106,92,95,90,80
96,106,92,95,90,80
102,106,92,95,91,80
100,106,92,95,90,80
